SEQN,SDDSRVYR,RIDSTATR,RIAGENDR,RIDAGEYR,RIDAGEMN,RIDRETH1,RIDRETH3,RIDEXMON,RIDEXAGM,DMQMILIZ,DMQADFC,DMDBORN4,DMDCITZN,DMDYRSUS,DMDEDUC3,DMDEDUC2,DMDMARTL,RIDEXPRG,SIALANG,SIAPROXY,SIAINTRP,FIALANG,FIAPROXY,FIAINTRP,MIALANG,MIAPROXY,MIAINTRP,AIALANGA,DMDHHSIZ,DMDFMSIZ,DMDHHSZA,DMDHHSZB,DMDHHSZE,DMDHRGND,DMDHRAGZ,DMDHREDZ,DMDHRMAZ,DMDHSEDZ,WTINT2YR,WTMEC2YR,SDMVPSU,SDMVSTRA,INDHHIN2,INDFMIN2,INDFMPIR,gender_f,edu_f,language_f
97540,10,2,2,2,.,2,2,1,33,.,.,1,1,.,.,.,.,.,1,1,2,1,2,2,.,.,.,.,6,6,2,0,1,1,4,2,1,3,17293.05815886823,16895.34177997959,1,140,14,14,2.73,Female,HS,English
97541,10,2,1,38,.,4,4,2,.,2,.,1,1,.,.,3,5,.,1,2,2,1,2,2,1,2,2,1,1,1,0,0,0,1,2,2,3,.,38079.69308459707,42070.357296006725,2,145,2,2,0.73,Male,HS,English
97542,10,2,2,7,.,1,1,2,95,.,.,1,1,.,1,.,.,.,2,1,2,2,2,2,.,.,.,.,5,5,2,1,0,1,2,1,1,1,10436.953959382716,10319.636708245342,2,141,7,7,1.46,Female,<HS,Spanish
97543,10,2,1,0,9,3,3,2,10,.,.,1,1,.,.,.,.,.,1,1,2,1,2,2,.,.,.,.,4,4,2,0,0,2,2,2,1,2,18098.126130554163,18887.642385323696,1,145,9,9,2.44,Male,HS,English
97544,10,2,1,19,.,4,4,1,229,2,.,1,1,.,15,.,.,.,1,2,2,1,2,2,1,2,2,1,3,3,0,1,0,2,3,2,3,.,26774.524299922065,27400.977209547564,2,144,9,9,2.65,Male,HS,English
97545,10,2,2,12,.,3,3,2,152,.,.,1,1,.,6,.,.,.,1,1,2,1,2,2,1,2,2,1,5,5,0,2,0,2,3,2,1,2,18570.321921563456,19229.269338699785,1,135,14,14,2.61,Female,HS,English
97546,10,2,1,5,.,3,3,2,63,.,.,1,1,.,.,.,.,.,1,1,2,1,2,2,.,.,.,.,4,4,1,1,0,1,3,2,1,2,40622.42149806085,42020.874951908445,1,142,10,10,2.64,Male,HS,English
97547,10,2,2,11,.,4,4,1,143,.,.,1,1,.,5,.,.,.,1,1,2,1,2,2,1,2,2,.,4,4,1,1,0,1,2,1,1,.,22130.197818282955,22624.797702779666,2,144,6,6,1.2,Female,<HS,English
97548,10,2,2,50,.,5,7,1,.,2,.,2,1,8,.,5,3,.,1,2,2,1,2,2,1,2,2,1,1,1,0,0,0,2,3,3,2,.,9903.096809535255,10175.65256371489,1,140,6,6,2.16,Female,College,English
97549,10,2,2,13,.,4,4,2,165,.,.,1,1,.,8,.,.,.,1,1,2,1,2,2,1,2,2,1,3,3,0,1,0,2,3,3,3,.,18474.024027368,19295.836375690666,1,141,8,8,2.45,Female,College,English
97550,10,2,2,47,.,3,3,2,.,2,.,1,1,.,.,5,1,.,1,2,2,1,2,2,1,2,2,1,5,5,0,3,1,1,4,2,1,3,255183.05869928288,312634.3199699501,1,138,15,15,4.17,Female,HS,English
97551,10,2,2,13,.,5,7,2,164,.,.,1,1,.,7,.,.,.,1,1,2,1,2,2,1,2,2,1,4,4,0,2,0,2,3,2,3,.,14845.83342142131,15289.832058805438,1,138,6,6,1.02,Female,HS,English
97552,10,1,2,12,.,5,6,.,.,.,.,1,1,.,5,.,.,.,1,1,2,1,2,2,.,.,.,.,6,6,0,2,2,2,2,3,1,.,10976.667973008996,0,2,138,12,12,.,Female,College,English
97553,10,2,2,0,11,4,4,2,12,.,.,1,1,.,.,.,.,.,1,1,2,1,2,2,.,.,.,.,4,4,2,0,0,2,2,2,.,.,6644.802488417198,6786.448822233081,1,147,99,99,.,Female,HS,English
97554,10,2,1,49,.,3,3,1,.,2,.,1,1,.,.,2,3,.,1,2,2,1,2,2,1,2,2,1,7,7,0,1,1,1,3,2,1,2,26928.23456772793,26389.580120469727,1,140,8,8,1.19,Male,HS,English
97555,10,2,2,48,.,1,1,1,.,2,.,1,1,.,.,3,1,.,1,2,2,1,2,2,1,2,2,1,4,4,1,1,0,1,3,2,1,2,61321.13808589252,64634.3111867281,2,135,8,8,1.99,Female,HS,English
97556,10,2,1,1,18,3,3,2,20,.,.,1,1,.,.,.,.,.,1,1,2,1,2,2,.,.,.,.,6,5,3,1,0,1,3,1,1,.,16604.906975538932,17303.983742276763,1,141,6,6,1.11,Male,<HS,English
97557,10,2,2,64,.,3,3,1,.,2,.,2,2,7,.,4,5,.,1,2,2,1,2,2,1,2,2,1,3,1,0,0,3,2,4,2,1,3,7976.523405712603,8325.814411791222,2,148,15,5,1.73,Female,HS,English
97558,10,2,2,56,.,3,3,2,.,2,.,1,1,.,.,3,1,.,1,2,2,1,2,2,1,2,2,1,2,2,0,0,1,2,3,2,1,1,40312.01673418567,39096.460012654745,1,142,6,6,1.72,Female,HS,English
97559,10,2,1,0,10,4,4,2,10,.,.,1,1,.,.,.,.,.,1,1,2,1,2,2,.,.,.,.,2,2,1,0,0,2,1,2,.,.,6119.211485286356,6782.915975532032,2,143,2,2,0.3,Male,HS,English
97560,10,2,1,55,.,1,1,1,.,2,.,2,1,9,.,4,1,.,1,2,2,2,2,2,1,2,2,1,5,5,0,0,1,2,3,2,1,2,51083.066442740484,54358.85877789829,2,135,14,14,3.31,Male,HS,English
97561,10,2,1,46,.,4,4,2,.,2,.,2,1,5,.,5,1,.,1,2,2,1,2,2,1,2,2,1,6,6,1,3,0,1,3,3,1,3,22221.603013452754,23129.232644424075,1,143,10,10,2.06,Male,College,English
97562,10,2,1,8,.,3,3,1,103,.,.,1,1,.,1,.,.,.,1,1,2,1,2,2,1,2,2,.,4,4,1,1,0,1,2,2,1,2,30346.497721751166,38263.21076542106,1,146,5,5,1,Male,HS,English
